,category,label,year,sales
328,5RM,Bukit Timah-5RM,2006,854000
329,EXE,Bukit Timah-EXE,2006,969000
330,3RM,Central Area-3RM,2006,425000
331,4RM,Central Area-4RM,2006,838000
332,5RM,Central Area-5RM,2006,995000
333,3RM,Choa Chu Kang-3RM,2006,275000
334,4RM,Choa Chu Kang-4RM,2006,350000
335,5RM,Choa Chu Kang-5RM,2006,412888
336,EXE,Choa Chu Kang-EXE,2006,560444
337,3RM,Clementi-3RM,2006,338000
338,4RM,Clementi-4RM,2006,507500
339,5RM,Clementi-5RM,2006,709000
340,EXE,Clementi-EXE,2006,840000
341,3RM,Geylang-3RM,2006,285000
342,4RM,Geylang-4RM,2006,480000
343,5RM,Geylang-5RM,2006,650000
344,EXE,Geylang-EXE,2006,730000
345,3RM,Hougang-3RM,2006,295000
346,4RM,Hougang-4RM,2006,380000
347,5RM,Hougang-5RM,2006,496000
348,EXE,Hougang-EXE,2006,670000
349,3RM,Jurong East-3RM,2006,302000
350,4RM,Jurong East-4RM,2006,410000
351,5RM,Jurong East-5RM,2006,592500
352,EXE,Jurong East-EXE,2006,705000
353,3RM,Jurong West-3RM,2006,280000
354,4RM,Jurong West-4RM,2006,380000
355,5RM,Jurong West-5RM,2006,465000
356,EXE,Jurong West-EXE,2006,560000
357,3RM,Kallang/Whampoa-3RM,2006,340000
358,4RM,Kallang/Whampoa-4RM,2006,570000
359,5RM,Kallang/Whampoa-5RM,2006,764500
360,EXE,Kallang/Whampoa-EXE,2006,810500
361,3RM,Marine Parade-3RM,2006,400000
362,4RM,Marine Parade-4RM,2006,531500
363,5RM,Marine Parade-5RM,2006,810000
364,3RM,Pasir Ris-3RM,2006,296000
365,4RM,Pasir Ris-4RM,2006,405000
366,5RM,Pasir Ris-5RM,2006,470000
367,EXE,Pasir Ris-EXE,2006,600000
368,3RM,Punggol-3RM,2006,362500
369,4RM,Punggol-4RM,2006,445000
370,5RM,Punggol-5RM,2006,449500
371,EXE,Punggol-EXE,2006,550000
372,3RM,Queenstown-3RM,2006,361700
373,4RM,Queenstown-4RM,2006,680000
374,5RM,Queenstown-5RM,2006,850000
375,EXE,Queenstown-EXE,2006,947500
376,3RM,Sembawang-3RM,2006,0
377,4RM,Sembawang-4RM,2006,363000
378,5RM,Sembawang-5RM,2006,415000
379,EXE,Sembawang-EXE,2006,490944
380,3RM,Sengkang-3RM,2006,362444
381,4RM,Sengkang-4RM,2006,410000
382,5RM,Sengkang-5RM,2006,453000
383,EXE,Sengkang-EXE,2006,555888
384,3RM,Serangoon-3RM,2006,320000
385,4RM,Serangoon-4RM,2006,447500
386,5RM,Serangoon-5RM,2006,515000
387,EXE,Serangoon-EXE,2006,745000
388,3RM,Tampines-3RM,2006,325500
389,4RM,Tampines-4RM,2006,425000
390,5RM,Tampines-5RM,2006,527888
391,EXE,Tampines-EXE,2006,680000
392,3RM,Toa Payoh-3RM,2006,305000
393,4RM,Toa Payoh-4RM,2006,569000
394,5RM,Toa Payoh-5RM,2006,697500
395,EXE,Toa Payoh-EXE,2006,840000
396,3RM,Woodlands-3RM,2006,270000
397,4RM,Woodlands-4RM,2006,355000
398,5RM,Woodlands-5RM,2006,425444
399,EXE,Woodlands-EXE,2006,588000
400,3RM,Yishun-3RM,2006,288000
401,4RM,Yishun-4RM,2006,365000
402,5RM,Yishun-5RM,2006,455444
403,EXE,Yishun-EXE,2006,575000
404,3RM,Ang Mo Kio-3RM,2007,310000
405,4RM,Ang Mo Kio-4RM,2007,460000
406,5RM,Ang Mo Kio-5RM,2007,668000
407,EXE,Ang Mo Kio-EXE,2007,850000
408,3RM,Bedok-3RM,2007,300000
409,4RM,Bedok-4RM,2007,415000
410,5RM,Bedok-5RM,2007,569000
411,EXE,Bedok-EXE,2007,705000
412,3RM,Bishan-3RM,2007,370000
413,4RM,Bishan-4RM,2007,568000
414,5RM,Bishan-5RM,2007,778000
415,EXE,Bishan-EXE,2007,905000
416,3RM,Bukit Batok-3RM,2007,272000
417,4RM,Bukit Batok-4RM,2007,398000
418,5RM,Bukit Batok-5RM,2007,543500
419,EXE,Bukit Batok-EXE,2007,648000
420,3RM,Bukit Merah-3RM,2007,360059
421,4RM,Bukit Merah-4RM,2007,680000
422,5RM,Bukit Merah-5RM,2007,748000
423,3RM,Bukit Panjang-3RM,2007,281000
424,4RM,Bukit Panjang-4RM,2007,365000
425,5RM,Bukit Panjang-5RM,2007,460000
426,EXE,Bukit Panjang-EXE,2007,585000
